userId,movieId,rating,timestamp,shifted_rating
1,1,4.0,964982703,1.0
1,3,4.0,964981247,1.0
1,6,4.0,964982224,1.0
1,47,5.0,964983815,2.0
1,50,5.0,964982931,2.0
1,70,3.0,964982400,0.0
1,101,5.0,964980868,2.0
1,110,4.0,964982176,1.0
1,151,5.0,964984041,2.0
1,157,5.0,964984100,2.0
1,163,5.0,964983650,2.0
1,216,5.0,964981208,2.0
1,223,3.0,964980985,0.0
1,231,5.0,964981179,2.0
1,235,4.0,964980908,1.0
1,260,5.0,964981680,2.0
1,296,3.0,964982967,0.0
1,316,3.0,964982310,0.0
1,333,5.0,964981179,2.0
1,349,4.0,964982563,1.0
1,356,4.0,964980962,1.0
1,362,5.0,964982588,2.0
1,367,4.0,964981710,1.0
1,423,3.0,964982363,0.0
1,441,4.0,964980868,1.0
1,457,5.0,964981909,2.0
1,480,4.0,964982346,1.0
1,500,3.0,964981208,0.0
1,527,5.0,964984002,2.0
1,543,4.0,964981179,1.0
1,552,4.0,964982653,1.0
1,553,5.0,964984153,2.0
1,590,4.0,964982546,1.0
1,592,4.0,964982271,1.0
1,593,4.0,964983793,1.0
1,596,5.0,964982838,2.0
1,608,5.0,964982931,2.0
1,648,3.0,964982563,0.0
1,661,5.0,964982838,2.0
1,673,3.0,964981775,0.0
1,733,4.0,964982400,1.0
1,736,3.0,964982653,0.0
1,780,3.0,964984086,0.0
1,804,4.0,964980499,1.0
1,919,5.0,964982475,2.0
1,923,5.0,964981529,2.0
1,940,5.0,964982176,2.0
1,943,4.0,964983614,1.0
1,954,5.0,964983219,2.0
1,1009,3.0,964981775,0.0
1,1023,5.0,964982681,2.0
1,1024,5.0,964982876,2.0
1,1025,5.0,964982791,2.0
1,1029,5.0,964982855,2.0
1,1030,3.0,964982903,0.0
1,1031,5.0,964982653,2.0
1,1032,5.0,964982791,2.0
1,1042,4.0,964981179,1.0
1,1049,5.0,964982400,2.0
1,1060,4.0,964980924,1.0
1,1073,5.0,964981680,2.0
1,1080,5.0,964981327,2.0
1,1089,5.0,964982951,2.0
1,1090,4.0,964984018,1.0
1,1092,5.0,964983484,2.0
1,1097,5.0,964981680,2.0
1,1127,4.0,964982513,1.0
1,1136,5.0,964981327,2.0
1,1196,5.0,964981827,2.0
1,1197,5.0,964981872,2.0
1,1198,5.0,964981827,2.0
1,1206,5.0,964983737,2.0
1,1208,4.0,964983250,1.0
1,1210,5.0,964980499,2.0
1,1213,5.0,964982951,2.0
1,1214,4.0,964981855,1.0
